year,district,dw_total,dw_lt40,dw_40_59,dw_60_79,dw_80_99,dw_100_119,dw_120_159,dw_160plus,pct_small_surface,pct_large_surface
2010,1 - Centre,7797,1697,1678,1973,1154,580,505,210,0.4329,0.0917
2010,10 - Vallon/Béthusy,3545,550,1070,950,550,205,161,59,0.457,0.0621
2010,11 - Chailly/Rovéréaz,4664,622,940,1280,716,345,386,375,0.3349,0.1632
2010,12 - Sallaz/Vennes/Séchaud,5855,939,1066,1336,1262,729,378,145,0.3424,0.0893
2010,13 - Sauvabelin,261,15,41,134,44,21,5,1,0.2146,0.023
2010,14 - Borde/Bellevaux,5102,617,1579,1737,724,295,114,36,0.4304,0.0294
2010,15 - Vinet/Pontaise,4354,976,1191,1188,538,272,134,55,0.4977,0.0434
2010,16 - Bossons/Blécherette,3454,295,832,1461,537,245,71,13,0.3263,0.0243
2010,17 - Beaulieu/Grey/Boisy,3167,117,545,768,835,671,197,34,0.209,0.0729
2010,2 - Maupas/Valency,8019,1177,2616,2620,1002,335,204,65,0.473,0.0335
2010,3 - Sébeillon/Malley,5009,696,1298,1720,743,361,129,62,0.3981,0.0381
2010,4 - Montoie/Bourdonette,3454,435,978,1205,594,144,71,27,0.4091,0.0284
2010,5 - Montriond/Cour,4480,495,1059,1420,770,356,228,152,0.3469,0.0848
2010,6 - Sous-Gare/Ouchy,6393,873,1591,1716,1068,544,407,194,0.3854,0.094
2010,7 - Montchoisi,2160,215,607,756,297,131,98,56,0.3806,0.0713
2010,8 - Florimont/Chissiez,3093,322,739,752,457,227,345,251,0.343,0.1927
2010,9 - Mousquines/Bellevue,1377,99,234,358,168,133,205,180,0.2418,0.2796
2010,90 - Zones foraines,1025,56,91,98,96,123,315,246,0.1434,0.5473
2011,1 - Centre,8142,1854,1688,1958,1260,613,554,215,0.435,0.0944
2011,10 - Vallon/Béthusy,3545,553,1043,971,537,225,158,58,0.4502,0.0609
2011,11 - Chailly/Rovéréaz,4724,619,959,1252,738,373,391,392,0.334,0.1657
2011,12 - Sallaz/Vennes/Séchaud,5910,961,1049,1373,1235,766,378,148,0.3401,0.089
2011,13 - Sauvabelin,261,14,29,151,40,21,5,1,0.1648,0.023
2011,14 - Borde/Bellevaux,5071,615,1560,1704,720,321,116,35,0.4289,0.0298
2011,15 - Vinet/Pontaise,4430,1011,1197,1230,537,264,134,57,0.4984,0.0431
2011,16 - Bossons/Blécherette,3407,291,792,1453,542,242,73,14,0.3179,0.0255
2011,17 - Beaulieu/Grey/Boisy,3140,122,551,765,823,645,197,37,0.2143,0.0745
2011,2 - Maupas/Valency,7936,1165,2635,2561,958,329,219,69,0.4788,0.0363
2011,3 - Sébeillon/Malley,5044,696,1292,1745,740,383,127,61,0.3941,0.0373
2011,4 - Montoie/Bourdonette,3469,453,992,1221,569,140,68,26,0.4165,0.0271
2011,5 - Montriond/Cour,4523,532,1056,1414,777,367,223,154,0.3511,0.0834
2011,6 - Sous-Gare/Ouchy,6288,884,1530,1676,1039,587,387,185,0.3839,0.091
2011,7 - Montchoisi,2162,224,583,769,294,122,111,59,0.3733,0.0786
2011,8 - Florimont/Chissiez,3094,332,727,766,437,244,349,239,0.3423,0.19
2011,9 - Mousquines/Bellevue,1381,103,234,346,170,135,208,185,0.244,0.2846
2011,90 - Zones foraines,1185,61,110,112,147,158,339,258,0.1443,0.5038
2012,1 - Centre,8216,1850,1690,1999,1284,605,561,227,0.4309,0.0959
2012,10 - Vallon/Béthusy,3568,551,1042,977,545,233,160,60,0.4465,0.0617
2012,11 - Chailly/Rovéréaz,4692,621,939,1216,731,389,392,404,0.3325,0.1697
2012,12 - Sallaz/Vennes/Séchaud,6038,1064,1045,1367,1242,779,387,154,0.3493,0.0896
2012,13 - Sauvabelin,340,68,39,153,49,25,5,1,0.3147,0.0176
2012,14 - Borde/Bellevaux,5105,623,1563,1702,723,331,129,34,0.4282,0.0319
2012,15 - Vinet/Pontaise,4490,1013,1199,1243,550,274,152,59,0.4927,0.047
2012,16 - Bossons/Blécherette,3390,271,796,1450,544,243,74,12,0.3147,0.0254
2012,17 - Beaulieu/Grey/Boisy,3152,121,556,759,822,653,205,36,0.2148,0.0765
2012,2 - Maupas/Valency,7944,1168,2646,2570,948,329,214,69,0.4801,0.0356
