year,district,pop_total,age_0_19,age_20_39,age_40_64,age_65_79,age_80plus,pct_0_19,pct_20_39,pct_40_64,pct_65_79,pct_80plus
1979,1-Centre,12467,1972,4143,3746,2074,532,0.1582,0.3323,0.3005,0.1664,0.0427
1979,101-Rue Centrale,2174,289,800,620,379,86,0.1329,0.368,0.2852,0.1743,0.0396
1979,102-Chauderon,2241,381,837,644,300,79,0.17,0.3735,0.2874,0.1339,0.0353
1979,103-Flon,11,3,2,3,3,0,0.2727,0.1818,0.2727,0.2727,0.0
1979,104-Montbenon,177,22,32,65,50,8,0.1243,0.1808,0.3672,0.2825,0.0452
1979,105-Gare/Petit-Chêne,1616,285,450,486,311,84,0.1764,0.2785,0.3007,0.1925,0.052
1979,106-Georgette,1204,226,364,334,223,57,0.1877,0.3023,0.2774,0.1852,0.0473
1979,107-Avant-Poste,1679,233,395,540,396,115,0.1388,0.2353,0.3216,0.2359,0.0685
1979,108-Marterey,1893,307,684,614,232,56,0.1622,0.3613,0.3244,0.1226,0.0296
1979,109-Cité,575,88,273,149,50,15,0.153,0.4748,0.2591,0.087,0.0261
1979,110-Riponne/Tunnel,897,138,306,291,130,32,0.1538,0.3411,0.3244,0.1449,0.0357
1979,13-Sauvabelin,566,159,235,112,33,27,0.2809,0.4152,0.1979,0.0583,0.0477
1979,1301-Sauvabelin,63,15,18,24,5,1,0.2381,0.2857,0.381,0.0794,0.0159
1979,1302-Pré-Fleuri,503,144,217,88,28,26,0.2863,0.4314,0.175,0.0557,0.0517
1979,14-Borde/Bellevaux,9175,1973,2849,2854,1160,339,0.215,0.3105,0.3111,0.1264,0.0369
1979,1401-Borde,1997,539,783,505,130,40,0.2699,0.3921,0.2529,0.0651,0.02
1979,1606-Blécherette,101,32,56,11,2,0,0.3168,0.5545,0.1089,0.0198,0.0
1979,17-Beaulieu/Grey/Boisy,5825,1100,1479,2146,805,295,0.1888,0.2539,0.3684,0.1382,0.0506
1979,1701-Beaulieu,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
1979,1702-Bergières,2462,581,650,937,231,63,0.236,0.264,0.3806,0.0938,0.0256
1979,1703-Pierrefleur,3362,519,828,1209,574,232,0.1544,0.2463,0.3596,0.1707,0.069
1979,2-Maupas/Valency,13948,2420,4244,4476,2308,500,0.1735,0.3043,0.3209,0.1655,0.0358
1979,201-Maupas,3025,516,970,1002,436,101,0.1706,0.3207,0.3312,0.1441,0.0334
