year,district,hh_total,hh_1person,hh_2persons,hh_3persons,hh_4persons,hh_5persons,hh_6plus,hh_mean_size,pct_1person,pct_small_hh
2012,1 - Centre,7184,4089,1895,644,407,112,37,1.7063,0.5692,0.833
2012,10 - Vallon/Béthusy,3313,1797,849,364,213,72,18,1.7884,0.5424,0.7987
2012,1001 - Le Vallon,694,391,164,90,30,12,7,1.755,0.5634,0.7997
2012,1002 - Hôpitaux,60,29,16,5,7,2,1,2.0167,0.4833,0.75
2012,1003 - Victor-Ruffy,1270,638,347,138,102,38,7,1.8843,0.5024,0.7756
2012,1004 - Béthusy,1289,739,322,131,74,20,3,1.7013,0.5733,0.8231
2012,101 - Rue Centrale,1360,827,364,93,57,15,4,1.5919,0.6081,0.8757
2012,102 - Chauderon,1244,732,340,101,56,9,6,1.6286,0.5884,0.8617
2012,103 - Flon,33,24,6,3,0,0,0,1.3636,0.7273,0.9091
2012,104 - Montbenon,93,50,28,10,4,1,0,1.6882,0.5376,0.8387
2012,105 - Gare/Petit-Chêne,707,368,196,79,45,12,7,1.819,0.5205,0.7977
2012,106 - Georgette,739,352,220,89,58,17,3,1.8904,0.4763,0.774
2012,107 - Avant-Poste,888,483,234,81,71,14,5,1.7827,0.5439,0.8074
2012,108 - Marterey,1049,641,248,85,43,26,6,1.6549,0.6111,0.8475
2012,109 - Cité,416,237,102,36,29,10,2,1.7524,0.5697,0.8149
2012,11 - Chailly/Rovéréaz,4327,1986,1190,522,425,150,54,2.0245,0.459,0.734
2012,110 - Riponne/Tunnel,655,375,157,67,44,8,4,1.7313,0.5725,0.8122
2012,1101 - Chailly,2398,1241,650,276,165,46,20,1.8344,0.5175,0.7886
2012,1102 - Plaisante,655,245,212,90,76,26,6,2.1603,0.374,0.6977
2012,1103 - Bois de Rovéréaz,25,3,9,3,5,3,2,3.16,0.12,0.48
2012,1104 - Craivavers,292,61,90,44,57,30,10,2.8116,0.2089,0.5171
2012,1105 - Devin,957,436,229,109,122,45,16,2.1379,0.4556,0.6949
2012,12 - Sallaz/Vennes/Séchaud,5653,2270,1424,815,730,291,123,2.2641,0.4016,0.6535
2012,1201 - La Sallaz,1604,773,421,188,158,51,13,1.9682,0.4819,0.7444
2012,1202 - Vennes,614,254,148,72,85,44,11,2.285,0.4137,0.6547
2012,1203 - Rte de Berne,522,228,126,71,67,24,6,2.1513,0.4368,0.6782
2012,1204 - Valmont,526,269,127,67,37,16,10,1.943,0.5114,0.7529
2012,1205 - Grangette,662,193,164,108,123,47,27,2.6601,0.2915,0.5393
