year,district,pop_total,pop_swiss,pop_foreign,pop_men_total,pop_men_swiss,pop_men_foreign,pop_women_total,pop_women_swiss,pop_women_foreign,pct_foreign,pct_swiss
1979,1-Centre,12467,8672,3795,5737.0,3708,2029,6730,4964,1766,0.3044,0.6956
1979,10-Vallon/Béthusy,6493,4925,1568,2713.0,1956,757,3780,2969,811,0.2415,0.7585
1979,1001-Le Vallon,1462,877,585,742.0,423,319,720,454,266,0.4001,0.5999
1979,1002-Hôpitaux,336,248,88,68.0,50,18,268,198,70,0.2619,0.7381
1979,1003-Victor-Ruffy,2427,1927,500,993.0,774,219,1434,1153,281,0.206,0.794
1979,1004-Béthusy,2268,1873,395,910.0,709,201,1358,1164,194,0.1742,0.8258
1979,101-Rue Centrale,2174,1476,698,1019.0,639,380,1155,837,318,0.3211,0.6789
1979,102-Chauderon,2241,1393,848,1148.0,651,497,1093,742,351,0.3784,0.6216
1979,103-Flon,11,6,5,7.0,4,3,4,2,2,0.4545,0.5455
1979,104-Montbenon,177,158,19,72.0,65,7,105,93,12,0.1073,0.8927
1979,105-Gare/Petit-Chêne,1616,1121,495,774.0,505,269,842,616,226,0.3063,0.6937
1979,106-Georgette,1204,893,311,477.0,338,139,727,555,172,0.2583,0.7417
1979,107-Avant-Poste,1679,1350,329,681.0,529,152,998,821,177,0.1959,0.8041
1979,108-Marterey,1893,1235,658,826.0,493,333,1067,742,325,0.3476,0.6524
1979,109-Cité,575,463,112,308.0,238,70,267,225,42,0.1948,0.8052
1979,11-Chailly/Rovéréaz,8774,6936,1838,3876.0,2990,886,4898,3946,952,0.2095,0.7905
1979,110-Riponne/Tunnel,897,577,320,425.0,246,179,472,331,141,0.3567,0.6433
1979,1101-Chailly,4639,3374,1265,2060.0,1476,584,2579,1898,681,0.2727,0.7273
1979,1102-Plaisante,1360,1210,150,627.0,547,80,733,663,70,0.1103,0.8897
1979,1103-Bois de Rovéréaz,11,9,2,6.0,5,1,5,4,1,0.1818,0.8182
1979,1104-Craivavers,652,575,77,318.0,275,43,334,300,34,0.1181,0.8819
1979,1105-Devin,2112,1768,344,865.0,687,178,1247,1081,166,0.1629,0.8371
1979,12-Sallaz/Vennes/Séchaud,9813,7504,2309,4405.0,3272,1133,5408,4232,1176,0.2353,0.7647
1979,1201-La Sallaz,2993,2308,685,1246.0,921,325,1747,1387,360,0.2289,0.7711
1979,1202-Vennes,558,438,120,255.0,192,63,303,246,57,0.2151,0.7849
1979,1203-Route de Berne,1156,843,313,575.0,390,185,581,453,128,0.2708,0.7292
1979,1204-Valmont,1082,792,290,463.0,335,128,619,457,162,0.268,0.732
1979,1205-Grangette,510,300,210,180.0,135,45,330,165,165,0.4118,0.5882
1979,1206-Praz-Séchaud,1310,1143,167,640.0,543,97,670,600,70,0.1275,0.8725
1979,1207-Ch. des Roches,280,248,32,117.0,101,16,163,147,16,0.1143,0.8857
1979,1208-Grand-Vennes,1924,1432,492,929.0,655,274,995,777,218,0.2557,0.7443
1979,13-Sauvabelin,288,268,20,94.0,84,10,194,184,10,0.0694,0.9306
1979,1301-Sauvabelin,39,30,9,19.0,15,4,20,15,5,0.2308,0.7692
1979,1302-Pré-Fleuri,249,238,11,75.0,69,6,174,169,5,0.0442,0.9558
1979,14-Borde/Bellevaux,9886,7887,1999,4689.0,3605,1084,5197,4282,915,0.2022,0.7978
1979,1401-Borde,1913,1337,576,907.0,604,303,1006,733,273,0.3011,0.6989
1979,1402-Rouvraie,2274,1835,439,1082.0,842,240,1192,993,199,0.1931,0.8069
1979,1403-Bellevaux,5032,4191,841,2372.0,1906,466,2660,2285,375,0.1671,0.8329
1979,1404-Rte du Signal,667,524,143,328.0,253,75,339,271,68,0.2144,0.7856
1979,15-Vinet/Pontaise,7666,5777,1889,3324.0,2339,985,4342,3438,904,0.2464,0.7536
1979,1501-Pré-du-Marché,2128,1574,554,861.0,597,264,1267,977,290,0.2603,0.7397
1979,1502-Valentin,2914,2329,585,1212.0,908,304,1702,1421,281,0.2008,0.7992
1979,1503-Pontaise,2624,1874,750,1251.0,834,417,1373,1040,333,0.2858,0.7142
1979,16-Bossons/Blécherette,5939,4873,1066,2860.0,2263,597,3079,2610,469,0.1795,0.8205
1979,1601-Stade,1,1,0,1.0,1,0,0,0,0,0.0,1.0
1979,1602-Ancien-Stand,1028,968,60,492.0,453,39,536,515,21,0.0584,0.9416
1979,1603-Bois-Mermet,43,32,11,24.0,15,9,19,17,2,0.2558,0.7442
1979,1604-Bois-Gentil,3304,2665,639,1575.0,1223,352,1729,1442,287,0.1934,0.8066
1979,1605-Bossons,1551,1196,355,762.0,566,196,789,630,159,0.2289,0.7711
1979,1606-Blécherette,12,11,1,6.0,5,1,6,6,0,0.0833,0.9167
1979,17-Beaulieu/Grey/Boisy,4996,4399,597,2282.0,1961,321,2714,2438,276,0.1195,0.8805
1979,1702-Bergières,1965,1622,343,916.0,720,196,1049,902,147,0.1746,0.8254
1979,1703-Pierrefleur,3031,2777,254,1366.0,1241,125,1665,1536,129,0.0838,0.9162
1979,2-Maupas/Valency,13948,10396,3552,6281.0,4367,1914,7667,6029,1638,0.2547,0.7453
1979,201-Maupas,3025,2023,1002,1376.0,848,528,1649,1175,474,0.3312,0.6688
1979,202-Av. d'Echallens,3843,2612,1231,1760.0,1097,663,2083,1515,568,0.3203,0.6797
1979,203-Montétan,2318,1890,428,1007.0,778,229,1311,1112,199,0.1846,0.8154
1979,204-Chablière,2544,1920,624,1172.0,829,343,1372,1091,281,0.2453,0.7547
1979,205-Valency,2218,1951,267,966.0,815,151,1252,1136,116,0.1204,0.8796
1979,3-Sébeillon/Malley,8420,6073,2347,3947.0,2647,1300,4473,3426,1047,0.2787,0.7213
1979,301-Av. de Morges,2882,1886,996,1375.0,829,546,1507,1057,450,0.3456,0.6544
1979,302-Rue de Sébeillon,15,14,1,8.0,8,0,7,6,1,0.0667,0.9333
1979,303-Tivoli,2063,1624,439,929.0,677,252,1134,947,187,0.2128,0.7872
1979,304-Prélaz,2209,1541,668,1038.0,676,362,1171,865,306,0.3024,0.6976
1979,305-Gare de Sébeillon,12,8,4,4.0,3,1,8,5,3,0.3333,0.6667
1979,306-Av. de Provence,3,3,0,1.0,1,0,2,2,0,0.0,1.0
1979,307-Malley,1236,997,239,592.0,453,139,644,544,100,0.1934,0.8066
1979,4-Montoie/Bourdonnette,6875,5156,1719,3301.0,2355,946,3574,2801,773,0.25,0.75
1979,401-Montoie,3092,2435,657,1425.0,1070,355,1667,1365,302,0.2125,0.7875
1979,402-Vallée de la Jeunesse,12,8,4,6.0,3,3,6,5,1,0.3333,0.6667
1979,403-Pyramides,1365,1096,269,650.0,507,143,715,589,126,0.1971,0.8029
1979,404-Prés-de-Vidy,709,516,193,366.0,257,109,343,259,84,0.2722,0.7278
1979,405-Bourget,8,8,0,4.0,4,0,4,4,0,0.0,1.0
1979,406-Bourdonnette,1689,1093,596,850.0,514,336,839,579,260,0.3529,0.6471
1979,5-Montriond/Cour,7883,6358,1525,3728.0,2834,894,4155,3524,631,0.1935,0.8065
1979,501-Marc-Dufour,2903,2431,472,1353.0,1078,275,1550,1353,197,0.1626,0.8374
1979,502-Milan,12,12,0,9.0,9,0,3,3,0,0.0,1.0
1979,503-Les Cèdres,76,44,32,67.0,35,32,9,9,0,0.4211,0.5789
1979,504-Cour,2053,1583,470,1005.0,718,287,1048,865,183,0.2289,0.7711
1979,505-Mont-d'Or,2835,2287,548,1291.0,993,298,1544,1294,250,0.1933,0.8067
1979,506-Bellerive,4,1,3,3.0,1,2,1,0,1,0.75,0.25
